ride_id,bike_type,start_time,end_time,start_station_id,end_station_id
20240917_z1hWJA,ebike,2024-09-17 00:40:47.397,2024-09-17 00:49:31.494,ST_0hk,ST_rIX
20240917_q2ob0G,mechanical,2024-09-17 00:41:02.827,2024-09-17 00:50:08.974,ST_Bw1,ST_wL9
20240917_aVf9dJ,ebike,2024-09-17 00:41:13.135,2024-09-17 00:52:47.198,ST_moA,ST_8Yn
20240917_l4KD8m,ebike,2024-09-17 00:41:24.786,2024-09-17 00:46:18.311,ST_fGn,ST_uZc
20240917_gQ9c58,mechanical,2024-09-17 00:41:55.944,2024-09-17 00:47:34.804,ST_4AH,ST_QBW
20240917_MLq8Hn,ebike,2024-09-17 00:46:02.695,2024-09-17 00:49:57.057,ST_xVV,ST_Qyc
20240917_hTxxWw,ebike,2024-09-17 00:46:22.713,2024-09-17 00:56:10.933,ST_7Ta,ST_nMV
20240917_RjVvXb,ebike,2024-09-17 00:47:55.826,2024-09-17 00:52:21.940,ST_S01,ST_lxY
20240917_26hDcD,ebike,2024-09-17 00:48:11.433,2024-09-17 01:07:17.493,ST_GJI,ST_Mn3
20240917_jkXeZJ,ebike,2024-09-17 00:49:19.258,2024-09-17 00:53:49.298,ST_7Y6,ST_14P
20240917_Amq9sX,ebike,2024-09-17 00:49:30.484,2024-09-17 00:54:35.850,ST_MiJ,ST_Ysh
20240917_CAfeBb,mechanical,2024-09-17 00:50:39.549,2024-09-17 00:52:37.244,ST_dky,ST_pb8
20240917_84cYPB,ebike,2024-09-17 00:53:51.743,2024-09-17 01:07:08.865,ST_sak,ST_9nO
20240917_LZXbdA,mechanical,2024-09-17 00:54:24.183,2024-09-17 01:00:34.117,ST_qC6,ST_oUj
20240917_uAV5bk,mechanical,2024-09-17 00:54:58.787,2024-09-17 01:02:05.925,ST_Vsb,ST_Mn3
20240917_wutXpJ,ebike,2024-09-17 00:56:12.886,2024-09-17 01:15:01.260,ST_nP9,ST_OOt
20240917_FIV1Sk,mechanical,2024-09-17 00:56:14.649,2024-09-17 01:12:36.170,ST_eZS,ST_vj3
20240917_fbSejZ,ebike,2024-09-17 00:57:53.888,2024-09-17 01:17:14.844,ST_oZo,ST_nMV
20240917_g3nOIq,ebike,2024-09-17 01:03:16.758,2024-09-17 01:08:26.621,ST_HHi,ST_dA3
20240917_4mr1I1,ebike,2024-09-17 01:06:54.740,2024-09-17 01:16:34.008,ST_Xyk,ST_Lc6
20240917_cczTPu,ebike,2024-09-17 01:07:24.278,2024-09-17 01:24:33.872,ST_LhR,ST_Jbm
20240917_TWa9sA,mechanical,2024-09-17 01:08:04.222,2024-09-17 01:21:24.573,ST_5Ih,ST_RGI
20240917_WzdTzq,ebike,2024-09-17 01:08:35.616,2024-09-17 01:15:31.292,ST_Lxx,ST_QBW
20240917_HYnnAP,mechanical,2024-09-17 01:08:59.449,2024-09-17 01:16:05.290,ST_aA6,ST_ZlU
20240917_DvQD6a,ebike,2024-09-17 01:09:06.116,2024-09-17 01:11:21.062,ST_iQk,ST_Yp4
20240917_o2Kr8f,ebike,2024-09-17 01:09:25.095,2024-09-17 01:22:14.094,ST_n2p,ST_nMV
20240917_yrAyW7,ebike,2024-09-17 01:11:40.863,2024-09-17 01:28:38.690,ST_5vn,ST_Jbm
20240917_SVhSHM,mechanical,2024-09-17 01:12:10.897,2024-09-17 03:04:58.888,ST_Mn3,ST_Jbm
20240917_k6UuYb,ebike,2024-09-17 01:13:30.961,2024-09-17 01:17:09.442,ST_LhR,ST_nMV
20240917_iFJQvR,ebike,2024-09-17 01:14:42.284,2024-09-17 01:21:25.643,ST_Scd,ST_14P
20240917_a57eQk,ebike,2024-09-17 01:14:52.596,2024-09-17 01:51:05.363,ST_S7n,ST_QNA
20240917_dI7iuh,ebike,2024-09-17 01:14:59.029,2024-09-17 01:18:51.117,ST_Tq1,ST_yQG
20240917_53ySr4,ebike,2024-09-17 01:15:18.821,2024-09-17 01:22:08.451,ST_LYk,ST_OCh
20240917_217qPr,ebike,2024-09-17 01:15:28.183,2024-09-17 01:17:21.687,ST_v0l,ST_yQG
20240917_2na6Ua,ebike,2024-09-17 01:16:49.713,2024-09-17 01:42:59.566,ST_fGn,ST_HP0
20240917_zg6Jwp,ebike,2024-09-17 01:17:21.665,2024-09-17 01:20:31.157,ST_YML,ST_nMV
20240917_FSapta,mechanical,2024-09-17 01:17:59.282,2024-09-17 01:36:06.448,ST_fta,ST_9nO
20240917_3AFJiU,ebike,2024-09-17 01:20:09.841,2024-09-17 01:29:07.456,ST_qam,ST_Pan
20240917_EHFwv5,ebike,2024-09-17 01:21:52.433,2024-09-17 01:29:18.417,ST_WmI,ST_Jbm
20240917_aLJmnZ,ebike,2024-09-17 01:22:03.269,2024-09-17 01:29:00.620,ST_g9H,ST_Jbm
20240917_14Grra,ebike,2024-09-17 01:23:05.486,2024-09-17 01:32:32.445,ST_RN7,ST_14P
20240917_fV1MVc,ebike,2024-09-17 01:23:55.089,2024-09-17 01:33:11.554,ST_BhC,ST_ZVb
20240917_fHrRpf,ebike,2024-09-17 01:25:20.446,2024-09-17 01:32:48.998,ST_0av,ST_MNF
20240917_GIMXQK,ebike,2024-09-17 01:26:04.847,2024-09-17 01:29:45.794,ST_nBB,ST_nMV
20240917_Kpfbuf,ebike,2024-09-17 01:28:26.429,2024-09-17 01:47:35.449,ST_iQk,ST_JHr
20240917_86hgA4,ebike,2024-09-17 01:29:23.656,2024-09-17 01:37:32.897,ST_9fb,ST_s78
20240917_eH1gra,mechanical,2024-09-17 01:30:45.354,2024-09-17 01:51:19.186,ST_775,ST_QNA
20240917_EFEead,mechanical,2024-09-17 01:30:52.913,2024-09-17 02:24:16.172,ST_bGn,ST_QBW
20240917_4O7zgC,mechanical,2024-09-17 01:31:37.954,2024-09-17 01:50:23.939,ST_775,ST_t9L
20240917_evIX16,mechanical,2024-09-17 01:33:18.831,2024-09-17 01:48:59.509,ST_775,ST_nMV
20240917_wuM9O1,ebike,2024-09-17 01:35:04.772,2024-09-17 01:36:20.383,ST_775,ST_8Yn
20240917_hayATn,mechanical,2024-09-17 01:35:11.473,2024-09-17 02:57:25.091,ST_cmf,ST_32Y
20240917_SMGIdk,ebike,2024-09-17 01:38:11.814,2024-09-17 02:15:08.856,ST_ccv,ST_14P
20240917_o5BCeO,ebike,2024-09-17 01:44:08.567,2024-09-17 01:50:25.897,ST_MiJ,ST_OCh
20240917_vhP9FC,ebike,2024-09-17 01:46:25.105,2024-09-17 01:56:29.445,ST_mXi,ST_iQk
20240917_PNV2Gu,ebike,2024-09-17 01:48:57.289,2024-09-17 01:56:01.470,ST_9qy,ST_Mn3
20240917_ZBHRm7,ebike,2024-09-17 01:51:46.757,2024-09-17 01:54:48.694,ST_5de,ST_K3J
20240917_EnGiOu,ebike,2024-09-17 01:52:40.887,2024-09-17 01:58:42.791,ST_C5v,ST_MpB
20240917_j1Xf0R,ebike,2024-09-17 01:54:01.870,2024-09-17 02:21:04.695,ST_5q4,ST_NbY
20240917_RwXVrF,ebike,2024-09-17 01:55:00.156,2024-09-17 01:58:53.136,ST_pVu,ST_HP0
20240917_dGvxQO,ebike,2024-09-17 01:55:24.657,2024-09-17 02:19:29.304,ST_WmI,ST_212
20240917_jqYv2b,ebike,2024-09-17 01:55:43.078,2024-09-17 02:02:27.559,ST_TBU,ST_QBW
20240917_XXLc0H,mechanical,2024-09-17 01:55:55.303,2024-09-17 02:11:58.329,ST_rZY,ST_nMV
20240917_hThvgc,ebike,2024-09-17 01:56:00.902,2024-09-17 02:00:23.390,ST_x2f,ST_nMV
20240917_X8ilXE,mechanical,2024-09-17 01:56:10.217,2024-09-17 02:00:34.226,ST_5Ih,ST_9nO
20240917_0W7MeE,ebike,2024-09-17 01:57:51.587,2024-09-17 02:02:47.405,ST_oZo,ST_xdo
20240917_9WPLqq,ebike,2024-09-17 02:00:27.835,2024-09-17 02:09:41.941,ST_m2h,ST_dcs
20240917_4FQf5W,mechanical,2024-09-17 02:01:07.909,2024-09-17 02:39:07.413,ST_xP2,ST_EdB
20240917_c66yKs,ebike,2024-09-17 02:01:40.561,2024-09-17 02:05:54.547,ST_BsR,ST_Tq1
20240917_Wa4HEl,mechanical,2024-09-17 02:05:50.396,2024-09-17 02:30:32.765,ST_eZS,ST_GVV
20240917_xV8ZQy,ebike,2024-09-17 02:06:34.864,2024-09-17 02:20:25.673,ST_Y2Z,ST_9nO
20240917_MfqB1S,ebike,2024-09-17 02:08:05.034,2024-09-17 02:14:18.035,ST_Avq,ST_p5n
20240917_OkwKjt,ebike,2024-09-17 02:08:28.561,2024-09-17 02:17:54.873,ST_W22,ST_GVV
20240917_mKg2aO,ebike,2024-09-17 02:16:54.468,2024-09-17 02:25:16.573,ST_65y,ST_7vy
20240917_NU9DOJ,mechanical,2024-09-17 02:16:57.407,2024-09-17 02:26:59.104,ST_bff,ST_HP0
20240917_q4gEpS,mechanical,2024-09-17 02:21:19.641,2024-09-17 02:47:00.559,ST_bZV,ST_hoI
20240917_0Q9w40,ebike,2024-09-17 02:27:11.600,2024-09-17 03:17:44.670,ST_sKl,ST_5vn
20240917_yHmrj0,mechanical,2024-09-17 02:31:06.438,2024-09-17 02:35:41.935,ST_gQN,ST_tQR
20240917_ch7Km0,ebike,2024-09-17 02:32:33.612,2024-09-17 02:44:42.150,ST_dGy,ST_pwK
20240917_hfgOVE,ebike,2024-09-17 02:33:39.470,2024-09-17 03:44:02.951,ST_Ud8,ST_9nO
